code,first_name,last_name,phonetic
NY-19,Chris,Gibson,(KRISS GIB-suhn)
NY-20,Paul,Tonko,(PAWL TAHN-koh)
NY-21,Elise,Stefanik,(uh-LEES stih-FAH-nik)
NY-22,Richard,Hanna,(RICH-erd HANN-uh)
NY-23,Tom,Reed,(TAHM REED)
NY-24,John,Katko,(JAHN KAT-koh)
NY-25,Louise,Slaughter,(loo-EES SLAW-ter)
NY-26,Brian,Higgins,(BRAHY-uhn HIG-inz)
NY-27,Chris,Collins,(KRISS KAH-linz)
NC-01,G.K.,Butterfield,(JEE-kay BUH-ter-feel)
NC-02,Renee,Ellmers,(ruh-NAY ELL-merz)
NC-03,Walter,Jones,(WAWL-tuh JOHNZ)
NC-04,David,Price,(DAY-vid PRICE)
NC-05,Virginia,Foxx,(ver-JIN-yuh FAHKS)
NC-06,Mark,Walker,(MARK WAWL-ker)
NC-07,David,Rouzer,(DAY-vid ROW-zer) [Rhymes with cow]
